"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 25 04:46:13 UTC 2023","Sat Nov 25 04:46:16 UTC 2023","2754","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Nov 25 02:48:19 UTC 2023","Sat Nov 25 02:48:24 UTC 2023","5874","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"skipped","Sat Nov 25 02:33:07 UTC 2023","Sat Nov 25 02:33:07 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Nov 25 04:37:49 UTC 2023","Sat Nov 25 04:37:54 UTC 2023","5267","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Nov 25 03:23:31 UTC 2023","Sat Nov 25 03:23:43 UTC 2023","12109","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Nov 25 02:34:18 UTC 2023","Sat Nov 25 02:34:29 UTC 2023","11065","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Nov 25 03:24:24 UTC 2023","Sat Nov 25 03:24:35 UTC 2023","11370","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Nov 25 02:34:02 UTC 2023","Sat Nov 25 02:34:18 UTC 2023","16125","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Nov 25 03:56:06 UTC 2023","Sat Nov 25 03:56:08 UTC 2023","1659","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Nov 25 02:54:44 UTC 2023","Sat Nov 25 02:54:48 UTC 2023","3805","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Nov 25 02:45:42 UTC 2023","Sat Nov 25 02:45:55 UTC 2023","12921","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
